SCP, SCP_REFERENCE_N, N_OF_OCCUR
680, 680, 15
681, 681, 11
682, 682, 29
683, 683, 11
684, 684, 34
685, 685, 17
686, 686, 10
687, 687, 8
688, 688, 27
689, 689, 24
689, 682, 1
690, 690, 16
691, 691, 16
692, 692, 6
693, 693, 30
693, 50, 1
694, 694, 10
695, 695, 2
696, 696, 19
696, 666, 1
697, 697, 12
698, 698, 17
699, 699, 19
699, 17591, 3
700, 700, 11
701, 701, 14
702, 702, 9
703, 703, 25
703, 643, 1
704, 704, 18
705, 705, 25
706, 706, 19
707, 707, 8
708, 708, 17
709, 709, 7
710, 710, 16
711, 711, 10
712, 712, 16
713, 713, 6
714, 714, 50
715, 715, 23
715, 2090, 1
716, 716, 33
717, 717, 13
718, 718, 19
719, 719, 26
720, 720, 20
721, 721, 8
722, 722, 11
723, 723, 18
724, 724, 12
725, 725, 8
726, 726, 22
727, 727, 17
728, 728, 13
729, 729, 18
730, 730, 6
731, 731, 3
732, 732, 7
733, 733, 3
734, 734, 32
735, 735, 13
736, 736, 13
737, 737, 26
738, 738, 17
739, 739, 28
740, 740, 7
741, 741, 6
742, 742, 14
743, 743, 33
744, 744, 22
745, 745, 19
746, 746, 30
747, 747, 27
748, 748, 29
749, 749, 13
750, 750, 14
751, 751, 16
752, 752, 12
753, 753, 36
754, 754, 23
755, 755, 5
756, 756, 5
757, 757, 10
758, 758, 20
759, 759, 7
760, 760, 26
761, 761, 12
762, 762, 6
763, 763, 22
764, 764, 9
765, 765, 11
766, 766, 11
767, 767, 11
768, 768, 18
769, 769, 8
770, 770, 26
771, 771, 23
772, 772, 30
773, 773, 6
774, 774, 8
775, 775, 27
776, 776, 3
777, 777, 34
778, 778, 19
779, 779, 25
780, 780, 22
781, 781, 40
781, 122, 1
781, 452, 2
782, 782, 12
783, 783, 17
784, 784, 30
785, 785, 7
786, 786, 12
787, 787, 20
788, 788, 18
789, 789, 18
790, 790, 14
791, 791, 15
792, 792, 11
793, 793, 21
794, 794, 9
795, 795, 25
796, 796, 23
797, 797, 14
798, 798, 25
799, 799, 11
800, 800, 26
801, 801, 9
802, 802, 14
803, 803, 7
804, 804, 22
805, 805, 17
806, 806, 12
807, 807, 8
808, 808, 19
809, 809, 11
810, 810, 7
811, 811, 25
812, 812, 10
813, 813, 14
814, 814, 5
815, 815, 7
816, 816, 22
817, 817, 18
818, 818, 28
819, 819, 7
819, 466, 1
820, 820, 16
821, 821, 18
822, 822, 28
823, 823, 8
824, 824, 30
825, 825, 39
826, 826, 16
827, 827, 23
828, 828, 13
829, 829, 33
830, 830, 20
831, 831, 29
832, 832, 23
833, 833, 16
834, 834, 8
835, 835, 2
836, 836, 19
837, 837, 8
838, 838, 8
839, 839, 18
840, 840, 17
841, 841, 20
842, 842, 22
843, 843, 3
844, 844, 18
845, 845, 10
846, 846, 29
847, 847, 50
848, 848, 4
849, 849, 10
850, 850, 12
851, 851, 13
852, 852, 7
853, 853, 10
854, 854, 6
855, 855, 28
856, 856, 29
857, 857, 9
858, 858, 12
859, 859, 17
860, 860, 12
861, 861, 24
862, 862, 6
863, 863, 11
864, 864, 14
865, 865, 26
866, 866, 11
867, 867, 10
868, 868, 24
869, 869, 32
870, 870, 22
871, 871, 17
872, 872, 9
873, 873, 28
874, 874, 9
875, 875, 15
876, 876, 3
877, 877, 23
878, 878, 7
879, 879, 18
880, 880, 21
881, 881, 15
882, 882, 16
883, 883, 15
884, 884, 3
885, 885, 14
886, 886, 6
886, 2910, 1
887, 887, 8
888, 888, 14
889, 889, 19
890, 890, 18
891, 891, 29
892, 892, 13
893, 893, 8
894, 894, 4
895, 895, 13
896, 896, 28
897, 897, 24
898, 898, 21
899, 899, 19
899, 573, 5
900, 900, 35
901, 901, 38
902, 902, 14
903, 903, 24
904, 904, 10
905, 905, 27
906, 906, 32
907, 907, 18
908, 908, 6
909, 909, 20
910, 910, 12
911, 911, 12
912, 912, 39
913, 913, 17
914, 914, 10
